Station ID,Chl-a 1,AveSPM,aCDOM_440,,Station,Depth (m), a412, a440, a488, a510, a532, a555, a650, a676, a715, b412, b440, b488, b510, b532, b555, b650, b676, b715, c412, c440, c488, c510, c532, c555, c650, c676, c715,station,depth,bbp412,bbp440,bbp488,bbp510,bbp532,bbp555,bbp650,bbp676,bbp715
4,1.0400,0.5444444444,0.0414914123,,4,2,1.15E-01,9.79E-02,7.79E-02,6.93E-02,6.54E-02,5.80E-02,5.06E-02,5.36E-02,4.60E-02,1.18E-01,1.17E-01,1.19E-01,1.20E-01,1.15E-01,1.17E-01,1.00E-01,8.78E-02,9.51E-02,2.33E-01,2.15E-01,1.97E-01,1.89E-01,1.81E-01,1.75E-01,1.51E-01,1.41E-01,1.41E-01,4,2,0.002899121,0.002789401,0.002944422,0.003231452,0.002801447,0.002692904,0.002493737,0.002147144,0.002099802
5,3.3100,1.9055555556,0.0998269573,,5,1,2.12E-01,1.84E-01,1.44E-01,1.29E-01,1.17E-01,1.05E-01,8.79E-02,9.66E-02,7.68E-02,3.42E-01,3.38E-01,3.43E-01,3.45E-01,3.46E-01,3.50E-01,3.28E-01,3.02E-01,3.22E-01,5.54E-01,5.21E-01,4.87E-01,4.74E-01,4.63E-01,4.54E-01,4.16E-01,3.98E-01,3.99E-01,5,1,0.007593722,0.006938115,0.007080181,0.007510692,0.006527908,0.006330233,0.006091538,0.005346346,0.005338995
8,0.3300,0.225,0.0214767014,,8,1,1.08E-01,9.29E-02,7.37E-02,6.56E-02,6.13E-02,5.49E-02,4.71E-02,5.14E-02,4.28E-02,1.32E-01,1.30E-01,1.30E-01,1.31E-01,1.27E-01,1.28E-01,1.10E-01,9.61E-02,1.04E-01,2.39E-01,2.23E-01,2.04E-01,1.96E-01,1.89E-01,1.83E-01,1.57E-01,1.48E-01,1.47E-01,8,1,0.003098609,0.002896801,0.003082794,0.003356909,0.002873341,0.002758837,0.002497116,0.002218596,0.002228863
11,1.39,1.7111111111,0.1111237156,,11,1,5.23E-01,4.53E-01,3.48E-01,3.08E-01,2.76E-01,2.44E-01,2.00E-01,2.32E-01,1.66E-01,9.73E-01,9.51E-01,9.62E-01,9.68E-01,9.75E-01,9.87E-01,9.61E-01,8.95E-01,9.58E-01,1.50E+00,1.40E+00,1.31E+00,1.28E+00,1.25E+00,1.23E+00,1.16E+00,1.13E+00,1.12E+00,11,1,0.021149878,0.01921254,0.018973564,0.019975782,0.017918868,0.017156272,0.016459292,0.014594183,0.013922332
12,2.9,3.7666666667,0.101638673,,12,1,1.31E+00,1.17E+00,9.22E-01,8.29E-01,7.53E-01,6.77E-01,5.60E-01,6.39E-01,4.64E-01,2.97E+00,2.91E+00,2.92E+00,2.93E+00,2.92E+00,2.93E+00,2.76E+00,2.57E+00,2.70E+00,4.28E+00,4.07E+00,3.85E+00,3.75E+00,3.68E+00,3.60E+00,3.32E+00,3.21E+00,3.17E+00,12,1,0.074106333,0.067098706,0.066753196,0.068735752,0.061663746,0.059053699,0.057407624,0.051778009,0.047630661
14,0.65,0.5666666667,0.0381788815,,14,2,2.04E-01,1.73E-01,1.32E-01,1.15E-01,1.04E-01,9.23E-02,7.71E-02,8.67E-02,6.62E-02,3.61E-01,3.54E-01,3.55E-01,3.56E-01,3.56E-01,3.58E-01,3.35E-01,3.08E-01,3.28E-01,5.65E-01,5.27E-01,4.87E-01,4.71E-01,4.60E-01,4.50E-01,4.12E-01,3.95E-01,3.94E-01,14,2,0.007407142,0.006492953,0.006675318,0.006888731,0.006068416,0.005820819,0.005685692,0.004737564,0.004723534
15,0.73,0.6222222222,0.0459274313,,15,1,3.10E-01,2.60E-01,2.00E-01,1.77E-01,1.60E-01,1.42E-01,1.16E-01,1.30E-01,9.77E-02,6.55E-01,6.47E-01,6.44E-01,6.44E-01,6.42E-01,6.44E-01,6.13E-01,5.71E-01,6.02E-01,9.66E-01,9.07E-01,8.44E-01,8.20E-01,8.02E-01,7.86E-01,7.29E-01,7.01E-01,7.00E-01,15,1,0.010457397,0.009394938,0.009229802,0.009366533,0.008463587,0.008152958,0.007887862,0.006920967,0.006677304
16,1.07,0.7833333333,0.063199545,,16,1,3.35E-01,2.85E-01,2.18E-01,1.92E-01,1.72E-01,1.52E-01,1.25E-01,1.44E-01,1.05E-01,5.79E-01,5.74E-01,5.82E-01,5.89E-01,5.97E-01,6.06E-01,5.97E-01,5.56E-01,6.00E-01,9.14E-01,8.59E-01,8.00E-01,7.81E-01,7.69E-01,7.58E-01,7.22E-01,7.00E-01,7.05E-01,16,1,0.012072225,0.010863739,0.01058626,0.011389801,0.010050092,0.009586411,0.009128722,0.007807873,0.007535704
17,1.12,0.8,0.0864127393,,17,1,3.17E-01,2.61E-01,1.93E-01,1.68E-01,1.51E-01,1.32E-01,1.07E-01,1.23E-01,8.89E-02,4.83E-01,4.74E-01,4.79E-01,4.83E-01,4.85E-01,4.93E-01,4.86E-01,4.50E-01,4.89E-01,8.00E-01,7.35E-01,6.72E-01,6.51E-01,6.36E-01,6.26E-01,5.93E-01,5.73E-01,5.78E-01,17,1,0.008871658,0.007997608,0.008121841,0.008353734,0.007256176,0.006883188,0.006756276,0.005841425,0.005681234
18,0.52,0.3666666667,0.0318604739,,18,1,1.20E-01,1.01E-01,7.76E-02,6.74E-02,6.21E-02,5.50E-02,4.58E-02,4.96E-02,4.12E-02,1.88E-01,1.83E-01,1.79E-01,1.77E-01,1.72E-01,1.71E-01,1.46E-01,1.31E-01,1.35E-01,3.09E-01,2.84E-01,2.56E-01,2.44E-01,2.34E-01,2.26E-01,1.92E-01,1.80E-01,1.76E-01,18,1,0.003419796,0.003075293,0.003249495,0.003515421,0.002977647,0.002847996,0.002643013,0.002347134,0.002235667
